品种,批发市场,最高价,最低价,大宗价,单位,提取时间
香菜,山西太原丈子头农产品物流园（原城东利民）,16,14.2,15.3,元/公斤,2025-9-16 17:50
茼蒿,山西太原丈子头农产品物流园（原城东利民）,10.1,9,9.6,元/公斤,2025-9-16 17:50
菠菜,山西太原丈子头农产品物流园（原城东利民）,16,14.2,15,元/公斤,2025-9-16 17:50
生菜,山西太原丈子头农产品物流园（原城东利民）,6.8,6.1,6.4,元/公斤,2025-9-16 17:50
小白菜,山西太原丈子头农产品物流园（原城东利民）,6.1,5.4,5.7,元/公斤,2025-9-16 17:50
油菜,山西太原丈子头农产品物流园（原城东利民）,7,6.1,6.6,元/公斤,2025-9-16 17:50
大米,山西太原丈子头农产品物流园（原城东利民）,4.4,3.9,4,元/公斤,2025-9-16 17:50
大白菜,山西太原丈子头农产品物流园（原城东利民）,2.1,1.4,1.7,元/公斤,2025-9-16 17:50
洋白菜,山西太原丈子头农产品物流园（原城东利民）,2.1,1.6,1.7,元/公斤,2025-9-16 17:50
白萝卜,山西太原丈子头农产品物流园（原城东利民）,2.6,2,2.4,元/公斤,2025-9-16 17:50
西葫芦,山西太原丈子头农产品物流园（原城东利民）,5.8,5,5.5,元/公斤,2025-9-16 17:50
苦瓜,山西太原丈子头农产品物流园（原城东利民）,6,5.2,5.7,元/公斤,2025-9-16 17:50
南瓜,山西太原丈子头农产品物流园（原城东利民）,2.1,1.9,2,元/公斤,2025-9-16 17:50
冬瓜,山西太原丈子头农产品物流园（原城东利民）,1.6,1.1,1.3,元/公斤,2025-9-16 17:50
丝瓜,山西太原丈子头农产品物流园（原城东利民）,10,8,9,元/公斤,2025-9-16 17:50
豆角,山西太原丈子头农产品物流园（原城东利民）,7.1,5.6,6.4,元/公斤,2025-9-16 17:50
平菇,山西太原丈子头农产品物流园（原城东利民）,6,5.2,5.7,元/公斤,2025-9-16 17:50
香菇,山西太原丈子头农产品物流园（原城东利民）,9.2,8,8.7,元/公斤,2025-9-16 17:50
金针菇,山西太原丈子头农产品物流园（原城东利民）,7,6.2,6.7,元/公斤,2025-9-16 17:50
苹果,山西太原丈子头农产品物流园（原城东利民）,9,8.5,8.7,元/公斤,2025-9-16 17:50
